"f1","f2"
1.71580495896153e-07,1.00254862230592
0.999866872314014,0.00124600165588769
0.632040127534916,0.208092288190811
0.600312144477956,0.229596711692769
0.96097480502236,0.0245658430149044
0.0862309080293685,0.709488417503984
0.0940594492671832,0.696627861673462
0.134124791115476,0.642894878373573
0.730108673041111,0.153406075802799
0.00474194381963411,0.938962492012844
0.371862116260824,0.392688806770992
0.107791278072995,0.676877519733612
0.74237656995164,0.142360802752854
0.0727916301127208,0.733231056185814
0.216394112693302,0.537357335552176
0.19882467308945,0.556253523283032
0.00987019516548945,0.903919428776216
0.97863389324425,0.0189370207738933
0.259052944079098,0.493337793079044
0.581419199139614,0.240308749627895
0.0481954730903405,0.782786575332373
0.904826161137105,0.0506854897993417
0.707742182740811,0.161100754939461
0.934486099406038,0.0346533105129711
0.119261064530038,0.65707786790963
0.8082721702463,0.102463820314827
0.341901382418918,0.419149436448753
0.245584164256852,0.506635063891817
0.865175046611504,0.0715300374228322
0.437445130763865,0.341310453185995
0.776346022068214,0.12477661407317
0.142407027357346,0.626533541839245
0.420853968669812,0.355544604080746
0.513288056116937,0.285828829284056
0.272284568523001,0.480934625845742
0.880153642289001,0.0640490105551603
0.89054689010588,0.0583425215056062
0.382858133288013,0.383852717442876
0.0306601394782782,0.8285367858266
0.0559744531089834,0.766619726128539
0.539291696926009,0.268075048361116
0.311110507187755,0.444355570063084
0.672547286982034,0.18190442890368
0.000467712070400361,0.982030094808411
0.23164108568522,0.525706922623714
0.354506146798803,0.407026120602767
0.160562455062058,0.606211962959983
0.456155527252379,0.327225403193485
0.299343874098092,0.455443007817532
0.789366354970485,0.117521747565825
0.661296170856383,0.188954601152624
0.392389223243213,0.375757753770576
0.443176626321054,0.336661854212648
0.575793056678371,0.248828725024323
0.650209257156459,0.195887163993618
0.834069956623409,0.0887903666188238
0.522564059379355,0.279926307866088
0.68425177167346,0.175391308438372
0.757060728023671,0.131820546052142
0.113993086731766,0.665388745404963
0.852910345163544,0.0780836441491795
0.795376182443814,0.109622068955264
0.318405713573057,0.437905749908289
0.00331721264950671,0.94915092446087
0.845057020200532,0.0822857933066353
0.554051300287293,0.257874944523776
0.531789506450997,0.272310870011866
0.293789059407669,0.461374239059263
0.284825543602163,0.469202968371302
0.148711586897872,0.617590321708351
0.561998406614508,0.253575498946003
0.061225164914649,0.758853090934262
0.249887501660431,0.502482561714181
0.988113779388794,0.00742131700972959
0.0355033907704787,0.814569759504695
0.420671858340183,0.364207168610275
0.760931918305553,0.129251161397508
0.499436083166491,0.296087147469109
0.0156690918107483,0.877479375861353
0.18013097552438,0.578135838024983
0.330413194923562,0.428653567706209
0.0425976369825193,0.797465086495153
0.692380095690265,0.169925301184009
0.169591084049217,0.591047564864516
0.354102318512182,0.410807411851787
0.834069956623409,0.0887903666188238
0.279375547198718,0.474790698697913
0.918836187459276,0.0433260340953185
0.703317926314649,0.169603742748367
0.223407807765358,0.535815906974868
0.404795351479555,0.365898991481514
0.473373150527148,0.314097200707935
0.155678160116276,0.612506911627212
0.174002426341313,0.585147179705007
0.46282642397394,0.321345304935753
0.0196002281028413,0.863156676296762
0.401448745799959,0.368419932334888
0.32771744115771,0.430169494048319
0.00148614781894131,0.965777155370242
0.0245034498860243,0.847630186154712
